17	18	10	15	19	14	6	16	19	3	19	15	15	1	18	14	8	0	0	5
2	9	10	8	3	6	10	4	6	13	5	1	3	17	1	6	18	1	8	10
14	7	10	16	15	2	8	12	17	10	13	12	11	15	5	3	8	3	8	18
3	7	3	8	9	18	2	18	14	3	0	8	0	13	11	19	4	12	16	12
15	13	4	16	18	11	6	19	0	4	10	9	6	1	12	7	4	4	16	7
2	2	12	8	3	10	19	11	11	6	9	0	7	1	17	19	7	9	10	5
16	8	8	5	7	6	19	9	16	4	10	7	17	13	2	15	13	15	5	10
15	18	14	17	15	16	13	6	10	17	5	7	0	18	17	15	19	0	10	2
14	6	6	8	5	5	7	19	18	15	7	17	7	6	12	6	16	5	5	6
2	5	10	6	16	15	0	9	14	14	7	1	17	16	12	0	5	2	6	3
0	13	13	15	18	0	2	18	11	9	4	5	9	4	5	3	13	1	0	6
1	12	3	6	19	0	7	4	3	2	18	0	14	14	0	11	18	3	16	3
2	18	0	4	0	4	18	18	4	0	0	18	1	2	0	16	12	19	5	18
16	6	12	7	8	14	18	7	10	12	2	0	0	19	12	3	17	4	18	12
0	18	5	8	16	6	3	17	10	2	1	10	12	19	6	16	14	12	6	4
13	11	11	2	10	9	15	12	11	2	14	12	1	19	18	1	9	5	3	6
6	7	11	12	7	4	6	15	0	9	5	17	5	13	6	1	17	5	10	3
1	2	13	9	9	9	9	9	3	17	1	18	11	2	13	2	11	6	0	11
5	16	9	11	17	4	16	10	16	6	14	17	11	4	12	10	2	2	16	4
6	17	5	9	15	5	15	16	15	11	11	9	9	14	7	7	8	1	15	3
12	15	5	12	18	19	17	16	18	0	5	2	11	14	0	0	3	0	11	10
15	16	10	14	6	16	15	7	6	3	4	13	14	3	9	2	16	2	5	5
2	11	4	19	15	9	2	6	4	1	2	17	8	3	5	9	10	12	7	4
1	3	8	9	10	10	6	19	17	15	15	5	16	4	1	0	2	12	18	14
8	8	10	12	9	10	1	19	10	11	18	3	2	19	17	0	12	1	17	19
7	9	3	4	7	3	13	9	11	15	0	9	2	3	9	16	17	0	11	11
1	9	5	5	5	8	1	17	4	10	4	8	15	18	10	10	10	9	5	7
16	5	13	19	6	16	16	1	0	16	15	18	2	10	6	15	9	3	6	13
7	8	15	16	0	6	8	1	18	1	19	13	0	0	11	8	10	2	3	10
2	17	6	11	6	15	19	4	11	4	14	13	0	15	7	14	3	19	17	19
5	5	4	17	9	14	6	15	11	0	11	6	11	17	2	11	19	1	5	6
5	12	9	8	3	11	9	16	13	4	13	5	17	10	10	1	8	10	11	12
8	3	8	19	14	6	9	5	11	19	9	8	15	15	12	17	5	14	16	10
12	12	14	5	17	16	15	11	0	6	7	6	16	2	5	17	19	3	18	11
12	12	5	14	9	15	19	2	3	19	0	1	5	3	18	8	2	4	8	13
8	8	4	17	16	4	16	2	17	12	7	5	8	10	11	2	3	14	15	7
14	5	8	15	17	9	17	5	6	6	18	10	2	18	6	19	12	0	8	12
13	9	11	14	16	19	2	4	0	11	19	12	12	15	17	6	2	10	5	12
6	16	0	16	10	9	7	11	10	6	0	8	17	15	7	11	9	6	5	0
7	15	13	11	5	4	18	19	6	9	2	6	17	18	18	14	14	17	5	17
17	16	6	10	0	11	0	5	10	9	4	12	16	13	0	8	7	9	6	11
5	9	16	10	6	8	14	18	15	19	5	0	17	14	5	15	17	14	3	6
17	6	15	19	17	5	6	17	5	16	13	13	6	16	17	0	13	6	8	6
3	2	14	4	18	11	15	17	11	12	15	2	3	17	15	8	2	15	17	17
11	16	11	4	9	5	17	5	17	10	10	1	0	1	6	15	10	17	18	0
11	13	12	15	7	10	9	12	19	0	2	13	12	16	11	10	18	5	7	11
8	12	13	14	8	18	6	12	10	16	11	0	15	4	15	6	10	19	10	14
0	7	4	2	10	16	18	4	18	19	10	10	2	16	15	11	17	9	7	10
13	13	3	15	15	15	1	7	13	16	13	17	7	17	0	2	14	0	17	10
7	5	5	1	17	10	2	7	19	4	9	18	8	14	13	1	9	10	19	2
0	2	0	7	6	4	8	5	14	17	11	7	16	0	1	0	14	10	7	17
13	6	5	17	3	19	1	5	14	9	15	3	5	2	9	10	16	19	16	4
13	3	0	11	19	11	16	9	15	10	2	2	7	9	9	14	10	1	8	2
13	15	14	6	9	6	14	10	16	15	4	3	6	1	7	17	14	7	15	18
5	3	4	11	15	19	10	2	0	2	0	2	1	6	13	15	7	7	0	14
6	2	3	5	10	14	16	5	6	14	5	13	6	1	18	9	11	15	6	19
15	18	9	10	3	0	1	12	11	14	15	7	8	16	7	6	11	15	18	13
15	6	0	12	8	4	19	6	18	2	19	15	2	17	7	3	5	12	19	11
